keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Cameroun',en,Cameroon,#AEBEC3,#AEBEC3,2,0.10003965698767822
'Yaoundé',en,Cameroon,#AEBEC3,#AEBEC3,2,0.10003965698767822
'Yamoussoukro',en,Ivory Coast,#440245,#440245,2,0.10003988953948285
'Côte d'Ivoire',en,Ivory Coast,#440245,#440245,2,0.10003988953948285
'Canberra',en,Australia,#92B288,#92B288,2,0.100040012213328
'Australie',en,Australia,#92B288,#92B288,2,0.100040012213328
'Taïwan',en,Taiwan,#1BC871,#1BC871,2,0.10004264058291042
'Taïpei',en,Taiwan,#1BC871,#1BC871,2,0.10004264058291042
'Niamey',en,Niger,#3C7815,#3C7815,2,0.10004455742623473
'Niger',en,Niger,#3C7815,#3C7815,2,0.10004455742623473
'Sri Lanka',en,Sri Lanka,#4B270A,#4B270A,2,0.10004614674665437
'Colombo',en,Sri Lanka,#4B270A,#4B270A,2,0.10004614674665437
'Ouagadougou',en,Burkina Faso,#0707A2,#0707A2,2,0.10005062897643145
'Burkina Faso',en,Burkina Faso,#0707A2,#0707A2,2,0.10005062897643145
'Roumanie',en,Romania,#8710CE,#8710CE,2,0.10005135068740084
'Bucarest',en,Romania,#8710CE,#8710CE,2,0.10005135068740084
'Mali',en,Mali,#B904EF,#B904EF,2,0.10005241724758082
'Bamako',en,Mali,#B904EF,#B904EF,2,0.10005241724758082
'Chili',en,Chile,#B436B7,#B436B7,2,0.10005339267751465
'Saint-Jacques',en,Chile,#B436B7,#B436B7,2,0.10005339267751465
'Kazakhstan',en,Kazakhstan,#BBD1D4,#BBD1D4,2,0.10005471507426013
'Noursoultan',en,Kazakhstan,#BBD1D4,#BBD1D4,2,0.10005471507426013
'Malawi',en,Malawi,#63132A,#63132A,2,0.10005693545267585
'Lilongwe',en,Malawi,#63132A,#63132A,2,0.10005693545267585
'Lusaka',en,Zambia,#35E19F,#35E19F,2,0.10005763083553992
'Zambie',en,Zambia,#35E19F,#35E19F,2,0.10005763083553992
'Guatemala',en,Guatemala,#74C8D9,#74C8D9,2,0.1000579783853101
'Guatemala-ville',en,Guatemala,#74C8D9,#74C8D9,2,0.1000579783853101
'Les Pays-Bas',en,The Netherlands,#7B0BE4,#7B0BE4,2,0.10005803487977524
'Amsterdam',en,The Netherlands,#7B0BE4,#7B0BE4,2,0.10005803487977524
'Équateur',en,Ecuador,#4B34E0,#4B34E0,2,0.10005853307794962
'Quito',en,Ecuador,#4B34E0,#4B34E0,2,0.10005853307794962
'Syrie',en,Syria,#ABBA7C,#ABBA7C,2,0.10005914960727914
'Damas',en,Syria,#ABBA7C,#ABBA7C,2,0.10005914960727914
'Zimbabwe',en,Zimbabwe,#7667C9,#7667C9,2,0.10005928241365265
'Harare',en,Zimbabwe,#7667C9,#7667C9,2,0.10005928241365265
'Cambodge',en,Cambodia,#4347C8,#4347C8,2,0.10006153922651839
'Phnom Penh',en,Cambodia,#4347C8,#4347C8,2,0.10006153922651839
'Dakar',en,Senegal,#F4DBC1,#F4DBC1,2,0.10006307413228917
'Sénégal',en,Senegal,#F4DBC1,#F4DBC1,2,0.10006307413228917
'N'Djaména',en,Chad,#28977B,#28977B,2,0.10006460886985455
'Tchad',en,Chad,#28977B,#28977B,2,0.10006460886985455
'Mogadiscio',en,Somalia,#935978,#935978,2,0.10006663044635604
'Somalie',en,Somalia,#935978,#935978,2,0.10006663044635604
'Guinée',en,Guinea,#4C5612,#4C5612,2,0.10008055214954217
'Conakry',en,Guinea,#4C5612,#4C5612,2,0.10008055214954217
'Kigali',en,Rwanda,#75796B,#75796B,2,0.100081287998583
'Rwanda',en,Rwanda,#75796B,#75796B,2,0.100081287998583
